"No.","Time","Source","Destination","Protocol","Length","Info"
"657","37.165701","192.168.1.19","142.250.182.46","UDP","75","58785  >  443 Len=33"
"658","37.371725","192.168.1.19","142.250.182.46","UDP","71","58785  >  443 Len=29"
"659","37.375808","192.168.1.25","192.168.1.255","NBNS","92","Name query NB DESKTOP-9CQD17A<1c>"
"660","37.375808","142.250.182.46","192.168.1.19","UDP","68","443  >  58785 Len=26"
"661","37.588604","192.168.1.19","142.250.182.46","UDP","71","58785  >  443 Len=29"
"662","37.592346","142.250.182.46","192.168.1.19","UDP","68","443  >  58785 Len=26"
"663","37.808430","192.168.1.19","142.250.182.46","UDP","71","58785  >  443 Len=29"
"664","37.813116","142.250.182.46","192.168.1.19","UDP","68","443  >  58785 Len=26"
"665","38.025093","192.168.1.19","142.250.182.46","UDP","71","58785  >  443 Len=29"
"666","38.029431","142.250.182.46","192.168.1.19","UDP","68","443  >  58785 Len=26"
"667","38.033086","34.175.83.78","192.168.1.19","TLSv1.3","93","Application Data"
"669","38.060180","157.240.23.53","192.168.1.19","TLSv1.2","142","Application Data"
"670","38.065588","192.168.1.19","157.240.23.53","TLSv1.2","126","Application Data"
"671","38.067577","157.240.23.53","192.168.1.19","TCP","56","443  >  49795 [ACK] Seq=506 Ack=441 Win=358 Len=0"
"674","38.185447","192.168.1.19","34.175.83.78","TCP","54","[TCP Dup ACK 668#1] 59008  >  443 [ACK] Seq=2474 Ack=4940 Win=131840 Len=0"
"677","38.199973","192.168.1.19","54.255.187.139","UDP","492","51370  >  1053 Len=1930"
"678","38.244731","192.168.1.19","142.250.182.46","UDP","71","58785  >  443 Len=29"
"679","38.248650","142.250.182.46","192.168.1.19","UDP","68","443  >  58785 Len=26"
"680","38.336988","34.175.83.78","192.168.1.19","TCP","54","443  >  59008 [RST] Seq=4940 Win=0 Len=0"
"681","38.400361","192.168.1.25","192.168.1.255","NBNS","92","Name query NB DESKTOP-9CQD17A<1c>"
"682","38.463286","192.168.1.19","142.250.182.46","UDP","71","58785  >  443 Len=29"
"683","38.467526","142.250.182.46","192.168.1.19","UDP","68","443  >  58785 Len=26"
"686","38.658596","192.168.1.19","54.179.212.40","UDP","492","51371  >  1053 Len=1930"
